,My knowledge of R is best described as:,Professionally I am best described as:,My age is:,I read the blog aggrogator R-bloggers:,My knowledge of statistics/econometrics/psychometrics is best described as:,I read the blog EconometricsBySimulation:,My favorite color is:,My gender is:,My area of research can best be described as:,My knowledge of R Shiny is best described as:,What... is the air-speed velocity of an unladen swallow?
User 148,Moderate,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Data Analysis,Prefer not to answer,Prefer not to answer
User 149,Advanced,Prefer not to answer,,,,,,,,None,I don't know!
User 150,Advanced,Industry/Professional,26-35,daily,Moderate,monthly,red,Male,Data Analysis,Basic,What do you mean? An African or European swallow?
User 151,Expert,Industry/Professional,26-35,daily,Advanced,never,red,Male,Data Analysis,None,I don't know!
User 152,Basic,Graduate Student,less than 25,daily,Moderate,never,blue,Male,Psychometrics,Basic,What do you mean? An African or European swallow?
User 153,Advanced,Professor,36-45,daily,Expert,weekly,blue,Male,Statistics,None,What do you mean? An African or European swallow?
User 154,Advanced,Industry/Professional,36-45,daily,Moderate,monthly,orange,Male,Prefer not to answer,Basic,What do you mean? An African or European swallow?
User 155,Advanced,Industry/Professional,26-35,weekly,Advanced,never,green,Male,Statistics,Moderate,I don't know!
User 156,Moderate,Professor,36-45,daily,Moderate,Prefer not to answer,blue,Male,Data Analysis,Advanced,What do you mean? An African or European swallow?
User 157,,,,,,,,,,,
User 158,Advanced,Industry/Professional,26-35,monthly,Expert,monthly,green,Male,Data Analysis,None,I don't know!
User 159,Advanced,Industry/Professional,26-35,monthly,Expert,never,blue,Prefer not to answer,Data Analysis,Basic,What do you mean? An African or European swallow?
User 160,Advanced,Industry/Professional,26-35,monthly,Expert,never,blue,Male,Data Analysis,Basic,What do you mean? An African or European swallow?
User 161,Prefer not to answer,Industry/Professional,46-55,monthly,Moderate,weekly,blue,Male,Psychometrics,Advanced,Prefer not to answer
User 162,Advanced,Prefer not to answer,26-35,weekly,Advanced,never,green,Male,Psychometrics,Advanced,What do you mean? An African or European swallow?
User 163,Basic,Unemployed,56 or older,daily,Advanced,never,blue,Male,Data Analysis,Basic,I don't know!
User 164,Advanced,Graduate Student,26-35,daily,Advanced,never,blue,Male,Data Analysis,Basic,I don't know!
User 165,Moderate,Graduate Student,26-35,weekly,Advanced,never,green,Male,Data Analysis,Basic,I don't know!
User 166,Moderate,Industry/Professional,26-35,weekly,Moderate,never,blue,Male,Data Analysis,Advanced,I don't know!
User 167,Advanced,Industry/Professional,36-45,daily,Advanced,monthly,Prefer not to answer,Male,Statistics,Basic,What do you mean? An African or European swallow?
User 168,Advanced,Industry/Professional,26-35,daily,Advanced,never,blue,Male,Data Analysis,Basic,~50 MPH
User 169,Advanced,Graduate Student,less than 25,weekly,Advanced,never,green,Male,Statistics,Basic,What do you mean? An African or European swallow?
User 170,Moderate,Industry/Professional,46-55,daily,Advanced,never,orange,Male,Data Analysis,None,What do you mean? An African or European swallow?
User 171,Advanced,Graduate Student,26-35,monthly,Advanced,monthly,green,Male,Prefer not to answer,None,What do you mean? An African or European swallow?
User 172,Basic,Industry/Professional,46-55,daily,Basic,never,Prefer not to answer,Male,Data Analysis,Basic,What do you mean? An African or European swallow?
User 173,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer
User 174,Advanced,Graduate Student,26-35,weekly,Advanced,Prefer not to answer,green,Male,Statistics,Moderate,What do you mean? An African or European swallow?
User 175,Advanced,Graduate Student,26-35,monthly,Advanced,weekly,green,Male,Statistics,Advanced,What do you mean? An African or European swallow?
User 176,None,Professor,36-45,monthly,Moderate,weekly,green,Male,Econometrics,Advanced,~50 MPH
User 177,Advanced,Industry/Professional,26-35,weekly,Moderate,never,red,Male,Data Analysis,Advanced,What do you mean? An African or European swallow?
User 178,,,less than 25,less than 25,Advanced,Prefer not to answer,Prefer not to answer,Prefer not to answer,Econometrics,Econometrics,Econometrics
User 179,,,less than 25,less than 25,Advanced,Prefer not to answer,Prefer not to answer,Prefer not to answer,Econometrics,Econometrics,Econometrics
User 180,Advanced,Industry/Professional,26-35,daily,Advanced,monthly,green,Male,Data Analysis,None,~50 MPH
User 181,Moderate,Industry/Professional,46-55,daily,Moderate,weekly,green,Male,Data Analysis,Basic,~50 MPH
User 182,Moderate,Industry/Professional,36-45,monthly,Basic,never,red,Prefer not to answer,Data Analysis,None,What do you mean? An African or European swallow?
User 183,Advanced,Industry/Professional,36-45,weekly,Expert,monthly,green,Male,Data Analysis,Basic,What do you mean? An African or European swallow?
User 184,,,,,,,,,,,
User 185,Moderate,Industry/Professional,36-45,daily,Moderate,never,red,Male,Data Analysis,Basic,What do you mean? An African or European swallow?
